match_id,season,venue,innings,batting_team,bowling_team,toss_winner,toss_decision,match_winner,powerplay_runs,powerplay_wickets,powerplay_run_rate,powerplay_sixes,powerplay_fours,powerplay_dot_balls,powerplay_extras,final_total,total_wickets,total_sixes,total_fours,total_balls
1075997,2016/17,Sharjah Cricket Stadium,1,Peshawar Zalmi,Islamabad United,Islamabad United,field,Islamabad United,38,2,6.33,0,6,17,0,136,9,4,14,124
1075997,2016/17,Sharjah Cricket Stadium,2,Islamabad United,Peshawar Zalmi,Islamabad United,field,Islamabad United,23,2,3.83,1,1,21,0,137,5,7,9,125
1075998,2016/17,Sharjah Cricket Stadium,1,Karachi Kings,Peshawar Zalmi,Peshawar Zalmi,field,Karachi Kings,47,0,7.83,1,6,14,0,174,4,7,15,120
1075998,2016/17,Sharjah Cricket Stadium,2,Peshawar Zalmi,Karachi Kings,Peshawar Zalmi,field,Karachi Kings,39,3,6.5,1,5,17,2,165,10,10,13,121
1075999,2016/17,Sharjah Cricket Stadium,1,Islamabad United,Lahore Qalandars,Lahore Qalandars,field,Lahore Qalandars,37,2,6.17,2,2,17,4,145,8,8,7,122
1075999,2016/17,Sharjah Cricket Stadium,2,Lahore Qalandars,Islamabad United,Lahore Qalandars,field,Lahore Qalandars,29,2,4.83,0,3,23,5,146,9,6,14,117
1076000,2016/17,Dubai International Cricket Stadium,1,Karachi Kings,Quetta Gladiators,Quetta Gladiators,field,Quetta Gladiators,50,0,8.33,2,4,16,3,154,6,6,11,130
1076000,2016/17,Dubai International Cricket Stadium,2,Quetta Gladiators,Karachi Kings,Quetta Gladiators,field,Quetta Gladiators,49,0,8.17,0,7,13,6,158,4,4,14,117
1076001,2016/17,Dubai International Cricket Stadium,1,Peshawar Zalmi,Lahore Qalandars,Peshawar Zalmi,bat,Peshawar Zalmi,52,1,8.67,0,7,16,10,166,6,2,16,123
1076001,2016/17,Dubai International Cricket Stadium,2,Lahore Qalandars,Peshawar Zalmi,Peshawar Zalmi,bat,Peshawar Zalmi,45,6,7.5,0,9,19,0,149,9,6,17,121
1076002,2016/17,Dubai International Cricket Stadium,1,Islamabad United,Quetta Gladiators,Quetta Gladiators,field,Islamabad United,41,1,6.83,1,5,17,0,165,6,7,12,121
1076002,2016/17,Dubai International Cricket Stadium,2,Quetta Gladiators,Islamabad United,Quetta Gladiators,field,Islamabad United,44,1,7.33,0,5,10,3,164,5,4,13,124
1076003,2016/17,Dubai International Cricket Stadium,1,Lahore Qalandars,Karachi Kings,Karachi Kings,field,Karachi Kings,42,2,7.0,1,4,18,5,155,6,5,11,124
1076003,2016/17,Dubai International Cricket Stadium,2,Karachi Kings,Lahore Qalandars,Karachi Kings,field,Karachi Kings,43,1,7.17,0,5,13,2,158,5,5,13,125
1076004,2016/17,Dubai International Cricket Stadium,1,Quetta Gladiators,Peshawar Zalmi,Peshawar Zalmi,field,Peshawar Zalmi,28,2,4.67,0,2,21,2,128,10,3,8,123
1076004,2016/17,Dubai International Cricket Stadium,2,Peshawar Zalmi,Quetta Gladiators,Peshawar Zalmi,field,Peshawar Zalmi,37,0,6.17,1,1,21,9,130,8,5,9,126
1076005,2016/17,Dubai International Cricket Stadium,1,Islamabad United,Karachi Kings,Karachi Kings,field,Karachi Kings,43,1,7.17,0,7,15,0,123,7,4,10,92
1076005,2016/17,Dubai International Cricket Stadium,2,Karachi Kings,Islamabad United,Karachi Kings,field,Karachi Kings,64,1,10.67,5,5,15,2,127,4,5,12,94
1076006,2016/17,Sharjah Cricket Stadium,1,Quetta Gladiators,Peshawar Zalmi,Peshawar Zalmi,field,Quetta Gladiators,59,1,9.83,2,6,11,5,200,7,8,15,124
1076006,2016/17,Sharjah Cricket Stadium,2,Peshawar Zalmi,Quetta Gladiators,Peshawar Zalmi,field,Quetta Gladiators,38,2,6.33,0,4,18,9,199,9,11,16,128
1076007,2016/17,Sharjah Cricket Stadium,1,Karachi Kings,Islamabad United,Islamabad United,field,Karachi Kings,42,1,7.0,1,7,21,0,126,10,2,14,122
1076007,2016/17,Sharjah Cricket Stadium,2,Islamabad United,Karachi Kings,Islamabad United,field,Karachi Kings,34,2,5.67,1,3,19,0,82,10,1,7,96
